ID,StreetNumber,StreetName,AdditionalLocationInformation,Category,BuildingNameSpecifics,EvaluationGroup,MunicipalDesignationM,ProvincialDesignationP,HeritageRevitalizationAgreementH,InteriorDesignationI,LandscapeDesignationL,HeritageConservationAreaCA,HeritageConservationCovenantHC,FederalDesignationF,Status,DateofLastUpdate,LocalArea,Geom,geo_point_2d
1716,2526,W 12TH AV,None,HERITAGE BUILDINGS,N/A,C,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Kitsilano,"{""coordinates"": [-123.16318149144386, 49.26088278032462], ""type"": ""Point""}","49.26088278032462, -123.16318149144386"
1731,4261,W 12TH AV,None,HERITAGE BUILDINGS,N/A,C,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,West Point Grey,"{""coordinates"": [-123.20190204615471, 49.26214722898994], ""type"": ""Point""}","49.26214722898994, -123.20190204615471"
1762,2148,W 13TH AV,None,HERITAGE BUILDINGS,N/A,C,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Kitsilano,"{""coordinates"": [-123.1542112969171, 49.259819403164414], ""type"": ""Point""}","49.259819403164414, -123.1542112969171"
1777,2132-2134,W 13TH AV,None,HERITAGE BUILDINGS,N/A,C,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Kitsilano,"{""coordinates"": [-123.15389725067926, 49.25981451562472], ""type"": ""Point""}","49.25981451562472, -123.15389725067926"
1782,936,W 14TH AV,None,HERITAGE BUILDINGS,N/A,B,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Fairview,"{""coordinates"": [-123.12524562207831, 49.258433208463046], ""type"": ""Point""}","49.258433208463046, -123.12524562207831"
1788,1816,W 14TH AV,None,HERITAGE BUILDINGS,N/A,B,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Kitsilano,"{""coordinates"": [-123.14639530059775, 49.25877347788264], ""type"": ""Point""}","49.25877347788264, -123.14639530059775"
1827,1975,W 15TH AV,None,HERITAGE BUILDINGS,Macken Residence,B,Yes,No,Yes,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Kitsilano,"{""coordinates"": [-123.15003552125533, 49.25843533294111], ""type"": ""Point""}","49.25843533294111, -123.15003552125533"
1835,1932-1938,W 15TH AV,None,HERITAGE BUILDINGS,N/A,C,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Kitsilano,"{""coordinates"": [-123.14921830886952, 49.25789885691294], ""type"": ""Point""}","49.25789885691294, -123.14921830886952"
1860,6,W 17TH AV,None,HERITAGE BUILDINGS,Turner Dairy,C,Yes,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Riley Park,"{""coordinates"": [-123.10532235430395, 49.2553913043513], ""type"": ""Point""}","49.2553913043513, -123.10532235430395"
1885,699,W 19TH AV,None,HERITAGE BUILDINGS,Middlemass House,B,Yes,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,South Cambie,"{""coordinates"": [-123.11996527685496, 49.25455007126266], ""type"": ""Point""}","49.25455007126266, -123.11996527685496"
1996,3057,W 39TH AV,None,HERITAGE BUILDINGS,N/A,A,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Dunbar-Southlands,"{""coordinates"": [-123.17387129898769, 49.23690237930481], ""type"": ""Point""}","49.23690237930481, -123.17387129898769"
1998,4011,W 39TH AV,None,HERITAGE BUILDINGS,N/A,B,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Dunbar-Southlands,"{""coordinates"": [-123.1942007502977, 49.23678545419029], ""type"": ""Point""}","49.23678545419029, -123.1942007502977"
2017,2850,W 3RD AV,None,HERITAGE BUILDINGS,Pierce House,C,Yes,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Kitsilano,"{""coordinates"": [-123.16947446184771, 49.269021901048696], ""type"": ""Point""}","49.269021901048696, -123.16947446184771"
2073,2199,W 4TH AV,None,HERITAGE BUILDINGS,Bank of Commerce,A,No,No,No,No,No,No,Yes,No,Active,2020-09-18T10:18:45-07:00,Kitsilano,"{""coordinates"": [-123.15488295151992, 49.26842615574905], ""type"": ""Point""}","49.26842615574905, -123.15488295151992"
2084,2025,W 5TH AV,None,HERITAGE BUILDINGS,N/A,C,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Kitsilano,"{""coordinates"": [-123.15115995694484, 49.26750000292816], ""type"": ""Point""}","49.26750000292816, -123.15115995694484"
2095,2245,W 5TH AV,None,HERITAGE BUILDINGS,N/A,B,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Kitsilano,"{""coordinates"": [-123.15629069387539, 49.267592013273635], ""type"": ""Point""}","49.267592013273635, -123.15629069387539"
2115,2950,W 5TH AV,None,HERITAGE BUILDINGS,N/A,B,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Kitsilano,"{""coordinates"": [-123.17139535917532, 49.267281997741286], ""type"": ""Point""}","49.267281997741286, -123.17139535917532"
2154,2525,W 6TH AV,None,HERITAGE BUILDINGS,N/A,C,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Kitsilano,"{""coordinates"": [-123.1629592332199, 49.266831674082646], ""type"": ""Point""}","49.266831674082646, -123.1629592332199"
2169,3164,W 6TH AV,None,HERITAGE BUILDINGS,N/A,B,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Kitsilano,"{""coordinates"": [-123.17530762547365, 49.266501528507064], ""type"": ""Point""}","49.266501528507064, -123.17530762547365"
2203,2048,W 7TH AV,None,HERITAGE BUILDINGS,N/A,C,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Kitsilano,"{""coordinates"": [-123.15163419081648, 49.2653169597534], ""type"": ""Point""}","49.2653169597534, -123.15163419081648"
2223,3622,W 7TH AV,None,HERITAGE BUILDINGS,N/A,C,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Kitsilano,"{""coordinates"": [-123.18435415188, 49.26579253003268], ""type"": ""Point""}","49.26579253003268, -123.18435415188"
2278,301-321,W CORDOVA ST,None,HERITAGE BUILDINGS,"Springer & Van Bramer Block, 301-311 W Cordova",A,Yes,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Downtown,"{""coordinates"": [-123.10947289246988, 49.283975543792224], ""type"": ""Point""}","49.283975543792224, -123.10947289246988"
2289,65-69,W CORDOVA ST,None,HERITAGE BUILDINGS,N/A,N/A,Yes,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Downtown,"{""coordinates"": [-123.10601108560782, 49.28307305192866], ""type"": ""Point""}","49.28307305192866, -123.10601108560782"
2317,757,W HASTINGS ST,None,HERITAGE BUILDINGS,Sinclair Centre ‑Federal Building,B,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Downtown,"{""coordinates"": [-123.11387114637586, 49.28595585419356], ""type"": ""Point""}","49.28595585419356, -123.11387114637586"
2335,16-18,W HASTINGS ST,None,HERITAGE BUILDINGS,Burns Block,B,Yes,No,Yes,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Downtown,"{""coordinates"": [-123.1051670913289, 49.281425163762556], ""type"": ""Point""}","49.281425163762556, -123.1051670913289"
2357,326,W PENDER ST,None,HERITAGE BUILDINGS,McBeth & Campbell Bldg.,C,Yes,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Downtown,"{""coordinates"": [-123.11157027673158, 49.28218008499289], ""type"": ""Point""}","49.28218008499289, -123.11157027673158"
2370,334-350,W PENDER ST,None,HERITAGE BUILDINGS,N/A,C,No,No,No,No,No,No,No,No,Active,2020-09-18T10:18:45-07:00,Downtown,"{""coordinates"": [-123.11175864780334, 49.28245285081001], ""type"": ""Point""}","49.28245285081001, -123.11175864780334"
